Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Evan Rodrigues,BUF,R,L,28.7.1993,Toronto,ON,CAN,CAN,71,184,--,--,--,20152016,N,26,2,3,5
Kevin Rooney,NJD,L,C,21.5.1993,Canton,MA,USA,USA,74,190,--,--,--,20162017,N,26,1,1,2
Calle Rosen,COL,L,D,2.2.1994,Vaxjo,--,SWE,SWE,73,186,--,--,--,20172018,N,8,0,2,2
Jack Roslovic,WPG,R,C,29.1.1997,Columbus,OH,USA,USA,73,187,2015,1,25,20162017,N,46,7,10,17
Antoine Roussel,VAN,L,L,21.11.1989,Roubaix,--,FRA,FRA,71,199,--,--,--,20122013,N,18,5,2,7
Carter Rowney,ANA,R,C,10.5.1989,Grand Prairie,AB,CAN,CAN,73,208,--,--,--,20162017,N,45,5,4,9
Matt Roy,LAK,R,D,1.3.1995,Detroit,MI,USA,USA,73,200,2015,7,194,20182019,N,47,4,10,14
Nicolas Roy,VGK,R,C,5.2.1997,Amos,QC,CAN,CAN,76,200,2015,4,96,20172018,N,11,2,3,5
German Rubtsov,PHI,L,C,27.6.1998,Chekhov,--,RUS,RUS,74,178,2016,1,22,20192020,N,3,0,0,0
Chad Ruhwedel,PIT,R,D,7.5.1990,San Diego,CA,USA,USA,71,191,--,--,--,20122013,N,22,2,4,6
Kris Russell,EDM,L,D,2.5.1987,Caroline,AB,CAN,CAN,70,170,2005,3,67,20072008,N,46,0,6,6
Patrick Russell,EDM,R,R,4.1.1993,Holte,--,DNK,DNK,73,203,--,--,--,20182019,N,30,0,4,4
Bryan Rust,PIT,R,R,11.5.1992,Pontiac,MI,USA,USA,71,192,2010,3,80,20142015,N,31,18,20,38
Jan Rutta,TBL,R,D,29.7.1990,Pisek,--,CZE,CZE,74,204,--,--,--,20172018,N,25,1,4,5
Bobby Ryan,OTT,R,R,17.3.1987,Cherry Hill,NJ,USA,USA,74,208,2005,1,2,20072008,N,16,1,3,4
Derek Ryan,CGY,R,C,29.12.1986,Spokane,WA,USA,USA,70,185,--,--,--,20152016,N,47,8,16,24
Joakim Ryan,LAK,L,D,17.6.1993,Rumson,NJ,USA,USA,71,185,2012,7,198,20172018,N,27,1,2,3
Brandon Saad,CHI,L,L,27.10.1992,Pittsburgh,PA,USA,USA,73,206,2011,2,43,20112012,N,36,11,8,19
Aleksi Saarela,FLA,L,C,7.1.1997,Helsinki,--,FIN,FIN,70,200,2015,3,89,20192020,N,3,0,0,0
Scott Sabourin,OTT,R,R,30.7.1992,Orleans,ON,CAN,CAN,75,208,--,--,--,20192020,N,14,1,2,3
Miikka Salomaki,NSH,L,R,9.3.1993,Raahe,--,FIN,FIN,71,203,2011,2,52,20142015,N,5,1,0,1
Rasmus Sandin,TOR,L,D,7.3.2000,Uppsala,--,SWE,SWE,71,183,2018,1,29,20192020,N,6,0,2,2
Zach Sanford,STL,L,L,9.11.1994,Salem,MA,USA,USA,76,207,2013,2,61,20162017,N,33,4,8,12
Travis Sanheim,PHI,L,D,29.3.1996,Elkhorn,MB,CAN,CAN,75,181,2014,1,17,20172018,N,45,5,8,13
Steven Santini,NSH,R,D,7.3.1995,Bronxville,NY,USA,USA,74,205,2013,2,42,20152016,N,2,0,0,0
Ashton Sautner,VAN,L,D,27.5.1994,Flin Flon,MB,CAN,CAN,73,195,--,--,--,20172018,N,1,0,0,0
David Savard,CBJ,R,D,22.10.1990,St. Hyacinthe,QC,CAN,CAN,74,229,2009,4,94,20112012,N,44,0,7,7
Luca Sbisa,WPG,L,D,30.1.1990,Ozieri,--,ITA,CHE,75,206,2008,1,19,20082009,N,33,2,5,7
Marco Scandella,MTL,L,D,23.2.1990,Montreal,QC,CAN,CAN,75,212,2008,2,55,20102011,N,36,3,6,9
Colton Sceviour,FLA,R,C,20.4.1989,Red Deer,AB,CAN,CAN,72,190,2007,4,112,20102011,N,45,5,9,14
Tim Schaller,VAN,L,C,16.11.1990,Merrimack,NH,USA,USA,74,204,--,--,--,20142015,N,44,4,1,5
Mark Scheifele,WPG,R,C,15.3.1993,Kitchener,ON,CAN,CAN,75,207,2011,1,7,20112012,N,46,22,29,51
Brayden Schenn,STL,L,C,22.8.1991,Saskatoon,SK,CAN,CAN,73,200,2009,1,5,20092010,N,46,17,21,38
Luke Schenn,TBL,R,D,2.11.1989,Saskatoon,SK,CAN,CAN,74,227,2008,1,5,20082009,N,15,1,0,1
Nick Schmaltz,ARI,R,C,23.2.1996,Madison,WI,USA,USA,72,177,2014,1,20,20162017,N,48,7,28,35
Nate Schmidt,VGK,L,D,16.7.1991,St. Cloud,MN,USA,USA,72,194,--,--,--,20132014,N,36,4,14,18
Justin Schultz,PIT,R,D,6.7.1990,Kelowna,BC,CAN,CAN,74,193,2008,2,43,20122013,N,27,2,6,8
Jaden Schwartz,STL,L,L,25.6.1992,Wilcox,SK,CAN,CAN,70,190,2010,1,14,20112012,N,46,15,23,38
Brent Seabrook,CHI,R,D,20.4.1985,Richmond,BC,CAN,CAN,75,220,2003,1,14,20052006,N,32,3,1,4
Nick Seeler,MIN,L,D,3.6.1993,Eden Prairie,MN,USA,USA,74,201,2011,5,131,20172018,N,6,0,0,0
Tyler Seguin,DAL,R,C,31.1.1992,Brampton,ON,CAN,CAN,73,200,2010,1,2,20102011,N,45,11,24,35
Andrej Sekera,DAL,L,D,8.6.1986,Bojnice,--,SVK,SVK,72,195,2004,3,71,20062007,N,41,2,5,7
Brett Seney,NJD,L,L,28.2.1996,London,ON,CAN,CAN,69,156,2015,6,157,20182019,N,2,0,0,0
Zach Senyshyn,BOS,R,R,30.3.1997,Ottawa,ON,CAN,CAN,73,192,2015,1,15,20182019,N,4,0,2,2
Mikhail Sergachev,TBL,L,D,25.6.1998,Nizhnekamsk,--,RUS,RUS,74,217,2016,1,9,20162017,N,45,7,16,23
Damon Severson,NJD,R,D,7.8.1994,Melville,SK,CAN,CAN,74,205,2012,2,60,20142015,N,45,5,11,16
Michael Sgarbossa,WSH,L,C,25.7.1992,Campbellville,ON,CAN,CAN,72,185,--,--,--,20122013,N,2,0,0,0
Kevin Shattenkirk,TBL,R,D,29.1.1989,New Rochelle,NY,USA,USA,72,203,2007,1,14,20102011,N,45,7,19,26
Andrew Shaw,CHI,R,R,20.7.1991,Belleville,ON,CAN,CAN,71,182,2011,5,139,20112012,N,26,3,7,10
Logan Shaw,WPG,R,R,5.10.1992,Glace Bay,NS,CAN,CAN,75,208,2011,3,76,20152016,N,25,2,1,3
Riley Sheahan,EDM,L,C,7.12.1991,St. Catharines,ON,CAN,CAN,75,214,2010,1,21,20112012,N,42,5,2,7
Conor Sheary,BUF,L,L,8.6.1992,Winchester,MA,USA,USA,68,179,--,--,--,20152016,N,39,7,8,15
Kole Sherwood,CBJ,R,R,22.1.1997,Columbus,OH,USA,USA,73,212,--,--,--,20182019,N,3,0,0,0
Devin Shore,ANA,L,C,19.7.1994,Ajax,ON,CAN,CAN,73,206,2012,2,61,20152016,N,29,2,4,6
Nicholas Shore,WPG,R,C,26.9.1992,Denver,CO,USA,USA,73,198,2011,3,82,20142015,N,38,3,2,5
Jonas Siegenthaler,WSH,L,D,6.5.1997,Zurich,--,CHE,CHE,75,210,2015,2,57,20182019,N,46,2,7,9
Dylan Sikura,CHI,L,R,1.6.1995,Aurora,ON,CAN,CAN,71,166,2014,6,178,20172018,N,7,1,2,3
Jakob Silfverberg,ANA,R,R,13.10.1990,Gävle,--,SWE,SWE,72,208,2009,2,39,20122013,N,42,15,13,28
Radim Simek,SJS,L,D,1992-09-20,Mlada Boleslav,--,CZE,CZE,71,200,--,--,--,20182019,N,25,1,6,7
Wayne Simmonds,NJD,R,R,1988-08-26,Scarborough,ON,CAN,CAN,74,185,2007,2,61,20082009,N,45,4,13,17
Dominik Simon,PIT,L,C,1994-08-08,Prague,--,CZE,CZE,71,190,2015,5,137,20152016,N,45,4,12,16
Colton Sissons,NSH,R,C,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,2,50,20132014,N,37,7,6,13
Jeff Skinner,BUF,L,L,1992-05-16,Toronto,ON,CAN,CAN,71,195,2010,1,7,20102011,N,39,11,8,19
Brady Skjei,NYR,L,D,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,1,28,20152016,N,43,6,12,18
Jaccob Slavin,CAR,L,D,1994-05-01,Denver,CO,USA,USA,75,207,2012,4,120,20152016,N,45,4,18,22
Brendan Smith,NYR,L,D,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,1,27,20112012,N,43,3,3,6
Craig Smith,NSH,R,R,1989-09-05,Madison,WI,USA,USA,73,208,2009,4,98,20112012,N,44,10,10,20
Dalton Smith,BUF,L,L,1992-06-30,Markham,ON,CAN,CAN,74,206,2010,2,34,20192020,N,1,0,0,0
Gemel Smith,TBL,L,C,1994-04-16,Toronto,ON,CAN,CAN,71,196,2012,4,104,20162017,N,3,1,0,1
Givani Smith,DET,L,R,1998-02-27,Toronto,ON,CAN,CAN,74,210,2016,2,46,20192020,N,10,0,1,1
Reilly Smith,VGK,L,R,1991-04-01,Mimico,ON,CAN,CAN,73,183,2009,3,69,20112012,N,48,18,18,36
Zack Smith,CHI,L,C,1988-04-05,Maple Creek,SK,CAN,CAN,74,208,2008,3,79,20082009,N,39,2,7,9
Vladimir Sobotka,BUF,L,C,1987-07-02,Trebic,--,CZE,CZE,71,191,2005,4,106,20072008,N,16,1,2,3
Carl Soderberg,ARI,L,C,1985-10-12,Malmö,--,SWE,SWE,75,210,2004,2,49,20122013,N,48,13,13,26
Marcus Sorensen,SJS,L,L,1992-04-07,Sodertalje,--,SWE,SWE,71,175,2010,4,106,20162017,N,44,5,5,10
Carson Soucy,MIN,L,D,1994-07-27,Viking,AB,CAN,CAN,77,210,2013,5,137,20172018,N,42,5,5,10
Jason Spezza,TOR,R,C,1983-06-13,Toronto,ON,CAN,CAN,75,216,2001,1,2,20022003,N,34,6,11,17
Daniel Sprong,ANA,R,R,1997-03-17,Amsterdam,--,NLD,NLD,71,191,2015,2,46,20152016,N,5,1,1,2
Jared Spurgeon,MIN,R,D,1989-11-29,Edmonton,AB,CAN,CAN,69,167,2008,6,156,20102011,N,38,3,14,17
Eric Staal,MIN,L,C,1984-10-29,Thunder Bay,ON,CAN,CAN,76,206,2003,1,2,20032004,N,45,16,17,33
Jordan Staal,CAR,L,C,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,20062007,N,45,6,11,17
Marc Staal,NYR,L,D,1987-01-13,Thunder Bay,ON,CAN,CAN,76,209,2005,1,12,20072008,N,27,2,4,6
Steven Stamkos,TBL,R,C,1990-02-07,Markham,ON,CAN,CAN,73,194,2008,1,1,20082009,N,42,17,27,44
Paul Stastny,VGK,L,C,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,2,44,20062007,N,48,12,9,21
Troy Stecher,VAN,R,D,1994-04-07,Richmond,BC,CAN,CAN,70,186,--,--,--,20162017,N,46,3,6,9
Sam Steel,ANA,L,C,1998-02-03,Ardrossan,AB,CAN,CAN,71,189,2016,1,30,20182019,N,40,3,11,14
Alexander Steen,STL,L,L,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,1,24,20052006,N,30,2,9,11
Kevin Stenlund,CBJ,R,C,1996-09-20,Stockholm,--,SWE,SWE,76,209,2015,2,58,20182019,N,14,3,2,5
Derek Stepan,ARI,R,C,1990-06-18,Hastings,MN,USA,USA,72,196,2008,2,51,20102011,N,48,8,10,18
Mitchell Stephens,TBL,R,C,1997-02-05,Peterborough,ON,CAN,CAN,71,193,2015,2,33,20192020,N,17,2,1,3
Chandler Stephenson,VGK,L,C,1994-04-22,Saskatoon,SK,CAN,CAN,72,208,2012,3,77,20152016,N,43,8,6,14
Chris Stewart,PHI,R,R,1987-10-30,Toronto,ON,CAN,CAN,74,242,2006,1,18,20082009,N,15,0,1,1
Riley Stillman,FLA,L,D,1998-03-09,Peterborough,ON,CAN,CAN,73,196,2016,4,114,20182019,N,12,0,4,4
Mark Stone,VGK,R,R,1992-05-13,Winnipeg,MB,CAN,CAN,75,202,2010,6,178,20122013,N,48,16,27,43
Michael Stone,CGY,R,D,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,20112012,N,22,2,2,4
Anton Stralman,FLA,R,D,1986-08-01,Tibro,--,SWE,SWE,71,186,2005,7,216,20072008,N,45,4,12,16
Ben Street,NJD,L,C,1987-02-13,Coquitlam,BC,CAN,CAN,72,190,--,--,--,20122013,N,3,0,1,1
Dylan Strome,CHI,L,C,1997-03-07,Mississauga,ON,CAN,CAN,75,200,2015,1,3,20162017,N,40,10,20,30
Ryan Strome,NYR,R,C,1993-07-11,Mississauga,ON,CAN,CAN,73,193,2011,1,5,20132014,N,44,12,29,41
Jack Studnicka,BOS,R,C,1999-02-18,Windsor,ON,CAN,CAN,73,171,2017,2,53,20192020,N,2,0,1,1
Nico Sturm,MIN,L,C,1995-05-03,Augsburg,--,DEU,DEU,75,206,--,--,--,20182019,N,6,0,2,2
P.K. Subban,NJD,R,D,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,2,43,20092010,N,45,5,5,10
CJ Suess,WPG,L,L,1994-03-17,St. Paul,MN,USA,USA,71,190,2014,5,129,20192020,N,1,0,0,0
Oskar Sundqvist,STL,R,C,1994-03-23,Boden,--,SWE,SWE,75,209,2012,3,81,20152016,N,40,10,9,19
Antti Suomela,SJS,L,C,1994-03-17,Espoo,--,FIN,FIN,72,180,--,--,--,20182019,N,9,0,1,1
Ryan Suter,MIN,L,D,1985-01-21,Madison,WI,USA,USA,74,206,2003,1,7,20052006,N,45,6,24,30
Brandon Sutter,VAN,R,C,1989-02-14,Huntington,NY,USA,CAN,75,190,2007,1,11,20082009,N,22,5,3,8
Nick Suzuki,MTL,R,C,1999-08-10,London,ON,CAN,CAN,71,201,2017,1,13,20192020,N,46,9,18,27
Andrei Svechnikov,CAR,L,R,2000-03-26,Barnaul,--,RUS,RUS,74,195,2018,1,2,20182019,N,45,18,24,42
Evgeny Svechnikov,DET,L,R,1996-10-31,Yuzhno-Sakhalinsk,--,RUS,RUS,75,208,2015,1,19,20162017,N,4,0,0,0
Jordan Szwarz,OTT,R,C,1991-05-14,Burlington,ON,CAN,CAN,71,192,2009,4,97,20132014,N,3,0,0,0
Brandon Tanev,PIT,L,L,1991-12-31,Toronto,ON,CAN,CAN,72,180,--,--,--,20152016,N,45,10,11,21
Christopher Tanev,VAN,R,D,1989-12-20,Toronto,ON,CAN,CAN,74,197,--,--,--,20102011,N,46,2,12,14
Vladimir Tarasenko,STL,L,R,1991-12-13,Yaroslavl,--,RUS,RUS,72,225,2010,1,16,20122013,N,10,3,7,10
Tomas Tatar,MTL,L,L,1990-12-01,Ilava,--,SVK,SVK,70,183,2009,2,60,20102011,N,46,16,23,39
John Tavares,TOR,L,C,1990-09-20,Mississauga,ON,CAN,CAN,73,215,2009,1,1,20092010,N,39,17,20,37
Matt Tennyson,NJD,R,D,1990-04-23,Minneapolis,MN,USA,USA,74,205,--,--,--,20122013,N,19,0,3,3
Teuvo Teravainen,CAR,L,L,1994-09-11,Helsinki,--,FIN,FIN,71,191,2012,1,18,20132014,N,45,9,34,43
Troy Terry,ANA,R,R,1997-09-10,Denver,CO,USA,USA,72,180,2015,5,148,20172018,N,33,3,5,8
Alexandre Texier,CBJ,L,C,1999-09-13,St. Martin D'heres,--,FRA,FRA,73,192,2017,2,45,20182019,N,36,6,7,13
Shea Theodore,VGK,L,D,1995-08-03,Langley,BC,CAN,CAN,74,195,2013,1,26,20152016,N,48,6,20,26
Robert Thomas,STL,R,C,1999-07-02,Aurora,ON,CAN,CAN,72,188,2017,1,20,20182019,N,41,8,16,24
Nate Thompson,MTL,L,C,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,6,183,20062007,N,46,2,7,9
Tage Thompson,BUF,R,R,1997-10-30,Phoenix,AZ,USA,USA,78,215,2016,1,26,20172018,N,1,0,0,0
Joe Thornton,SJS,L,C,1979-07-02,London,ON,CAN,CAN,76,220,1997,1,1,19971998,N,47,2,17,19
Chris Tierney,OTT,L,C,1994-07-01,Keswick,ON,CAN,CAN,73,195,2012,2,55,20142015,N,45,6,16,22
Dmytro Timashov,TOR,L,L,1996-10-01,Kirovograd,--,UKR,UKR,70,192,2015,5,125,20192020,N,31,4,5,9
Conor Timmins,COL,R,D,1998-09-18,St. Catharines,ON,CAN,CAN,74,185,2017,2,32,20192020,N,2,0,0,0
Jarred Tinordi,NSH,L,D,1992-02-20,Burnsville,MN,USA,USA,78,230,2010,1,22,20122013,N,6,0,0,0
Brady Tkachuk,OTT,L,L,1999-09-16,Scottsdale,AZ,USA,USA,76,212,2018,1,4,20182019,N,45,14,11,25
Matthew Tkachuk,CGY,L,L,1997-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,20162017,N,46,15,23,38
Devon Toews,NYI,L,D,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,4,108,20182019,N,43,3,12,15
Jonathan Toews,CHI,L,C,1988-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,1,3,20072008,N,46,11,24,35
Tyler Toffoli,LAK,R,R,1992-04-24,Scarborough,ON,CAN,CAN,72,197,2010,2,47,20122013,N,46,12,15,27
Dominic Toninato,FLA,L,C,1994-03-09,Duluth,MN,USA,USA,74,191,2012,5,126,20172018,N,27,4,4,8
Yakov Trenin,NSH,L,C,1997-01-13,Chelyabinsk,--,RUS,RUS,74,201,2015,2,55,20192020,N,11,2,4,6
Vincent Trocheck,FLA,R,C,1993-07-11,Pittsburgh,PA,USA,USA,70,183,2011,3,64,20132014,N,38,6,21,27
Zach Trotman,PIT,R,D,1990-08-26,Carmel,IN,USA,USA,75,217,2010,7,210,20132014,N,5,0,0,0
Jacob Trouba,NYR,R,D,1994-02-26,Rochester,MI,USA,USA,75,209,2012,1,9,20132014,N,44,6,15,21
Alex Tuch,VGK,R,R,1996-05-10,Syracuse,NY,USA,USA,76,220,2014,1,18,20162017,N,31,6,7,13
Kyle Turris,NSH,R,C,1989-08-14,New Westminster,BC,CAN,CAN,73,190,2007,1,3,20072008,N,37,6,12,18
Carsen Twarynski,PHI,L,L,1997-11-24,St. Albert,AB,CAN,CAN,74,198,2016,3,82,20192020,N,15,1,0,1
T.J. Tynan,COL,R,C,1992-02-25,Orland Park,IL,USA,USA,68,165,2011,3,66,20162017,N,14,0,1,1
Urho Vaakanainen,BOS,L,D,1999-01-01,Joensuu,--,FIN,FIN,73,185,2017,1,18,20182019,N,5,0,0,0
James van Riemsdyk,PHI,L,L,1989-05-04,Middletown,NJ,USA,USA,75,217,2007,1,2,20092010,N,45,12,11,23
Trevor van Riemsdyk,CAR,R,D,1991-07-24,Middletown,NJ,USA,USA,74,192,--,--,--,20142015,N,26,0,3,3
Sami Vatanen,NJD,R,D,1991-06-03,Jyväskylä,--,FIN,FIN,70,185,2009,4,106,20122013,N,41,5,17,22
Frank Vatrano,FLA,L,C,1994-03-14,East Longmeadow,MA,USA,USA,71,197,--,--,--,20152016,N,45,10,10,20
Lukas Vejdemo,MTL,L,C,1996-01-25,Stockholm,--,SWE,SWE,74,194,2015,3,87,20192020,N,4,0,0,0
Carter Verhaeghe,TBL,L,C,1995-08-14,Toronto,ON,CAN,CAN,73,177,2013,3,82,20192020,N,32,5,4,9
Max Veronneau,OTT,R,R,1995-12-12,Ottawa,ON,CAN,CAN,73,193,--,--,--,20182019,N,4,0,0,0
Jimmy Vesey,BUF,L,L,1993-05-26,Boston,MA,USA,USA,75,202,2012,3,66,20162017,N,42,5,8,13
Jake Virtanen,VAN,R,R,1996-08-17,Langley,BC,CAN,CAN,73,226,2014,1,6,20152016,N,46,13,12,25
Marc-Edouard Vlasic,SJS,L,D,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,2,35,20062007,N,47,5,5,10
Alexander Volkov,TBL,L,R,1997-08-02,Moscow,--,RUS,RUS,73,191,2017,2,48,20192020,N,6,0,0,0
Jakub Voracek,PHI,L,R,1989-08-15,Kladno,--,CZE,CZE,74,214,2007,1,7,20082009,N,45,8,26,34
Mikhail Vorobyev,PHI,L,C,1997-01-05,Ufa,--,RUS,RUS,74,194,2015,4,104,20182019,N,20,1,2,3
Jakub Vrana,WSH,L,L,1996-02-28,Prague,--,CZE,CZE,72,195,2014,1,13,20162017,N,46,20,17,37
Austin Wagner,LAK,L,L,1997-06-23,Calgary,AB,CAN,CAN,73,185,2015,4,99,20182019,N,43,3,4,7
Chris Wagner,BOS,R,R,1991-05-27,Walpole,MA,USA,USA,72,198,2010,5,122,20142015,N,44,4,4,8
Oliver Wahlstrom,NYI,R,R,2000-06-13,Quincy,MA,USA,USA,74,211,2018,1,11,20192020,N,9,0,0,0
Nathan Walker,STL,L,L,1994-02-07,Cardiff,--,GBR,AUS,69,186,2014,3,89,20172018,N,5,1,1,2
Sean Walker,LAK,R,D,1994-11-13,Keswick,ON,CAN,CAN,71,196,--,--,--,20182019,N,47,4,14,18
Lucas Wallmark,CAR,L,C,1995-09-05,Umea,--,SWE,SWE,72,178,2014,4,97,20162017,N,45,10,11,21
Jake Walman,STL,L,D,1996-02-20,Toronto,ON,CAN,CAN,73,170,2014,3,82,20192020,N,1,0,0,0
Austin Watson,NSH,R,L,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,1,18,20122013,N,40,6,7,13
Jordan Weal,MTL,R,C,1992-04-15,North Vancouver,BC,CAN,CAN,70,180,2010,3,70,20152016,N,36,4,3,7
Shea Weber,MTL,R,D,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,2,49,20052006,N,46,12,20,32
Yannick Weber,NSH,R,D,1988-09-23,Morges,--,CHE,CHE,71,200,2007,3,73,20082009,N,25,0,1,1
Anton Wedin,CHI,L,L,1993-03-01,Sundsvall,--,SWE,SWE,71,195,--,--,--,20192020,N,4,0,0,0
MacKenzie Weegar,FLA,R,D,1994-01-07,Ottawa,ON,CAN,CAN,72,200,2013,7,206,20162017,N,28,3,9,12
Dale Weise,MTL,R,R,1988-08-05,Winnipeg,MB,CAN,CAN,74,196,2008,4,111,20102011,N,5,0,0,0
Alexander Wennberg,CBJ,L,C,1994-09-22,Stockholm,--,SWE,SWE,74,197,2013,1,14,20142015,N,45,3,13,16
Zach Werenski,CBJ,L,D,1997-07-19,Grosse Pointe,MI,USA,USA,74,212,2015,1,8,20162017,N,39,15,13,28
Blake Wheeler,WPG,R,R,1986-08-31,Plymouth,MN,USA,USA,77,225,2004,1,5,20082009,N,46,14,26,40
Colin White,OTT,R,C,1997-01-30,Boston,MA,USA,USA,71,191,2015,1,21,20162017,N,38,4,8,12
Colin Wilson,COL,L,C,1989-10-20,Greenwich,CT,USA,USA,73,215,2008,1,7,20092010,N,9,0,4,4
Scott Wilson,BUF,L,L,1992-04-24,Oakville,ON,CAN,CAN,71,177,2011,7,209,20142015,N,2,0,0,0
Tom Wilson,WSH,R,R,1994-03-29,Toronto,ON,CAN,CAN,76,220,2012,1,16,20132014,N,45,13,17,30
Luke Witkowski,TBL,R,R,1990-04-14,Holland,MI,USA,USA,74,217,2008,6,160,20142015,N,12,1,2,3
Miles Wood,NJD,L,L,1995-09-13,Buffalo,NY,USA,USA,74,195,2013,4,100,20152016,N,45,7,8,15
Kailer Yamamoto,EDM,R,R,1998-09-29,Spokane,WA,USA,USA,68,153,2017,1,22,20172018,N,6,2,3,5
Keith Yandle,FLA,L,D,1986-09-09,Boston,MA,USA,USA,73,192,2005,4,105,20062007,N,45,4,30,34
Danil Yurtaykin,SJS,R,L,1997-07-01,Belovo,--,RUS,RUS,71,165,--,--,--,20192020,N,4,0,0,0
Pavel Zacha,NJD,L,C,1997-04-06,Brno,--,CZE,CZE,75,210,2015,1,6,20152016,N,41,3,15,18
Filip Zadina,DET,L,R,1999-11-27,Pardubice,--,CZE,CZE,72,189,2018,1,6,20182019,N,21,5,6,11
Nikita Zadorov,COL,L,D,1995-04-16,Moscow,--,RUS,RUS,78,235,2013,1,16,20132014,N,41,1,4,5
Nikita Zaitsev,OTT,R,D,1991-10-29,Moscow,--,RUS,RUS,74,188,--,--,--,20162017,N,32,0,8,8
Travis Zajac,NJD,R,C,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,1,20,20062007,N,45,6,11,17
Mika Zibanejad,NYR,R,C,1993-04-18,Huddinge,--,SWE,SWE,74,208,2011,1,6,20112012,N,31,17,18,35
Mats Zuccarello,MIN,L,R,1987-09-01,Oslo,--,NOR,NOR,68,178,--,--,--,20102011,N,41,11,13,24
Jason Zucker,MIN,L,L,1992-01-16,Newport Beach,CA,USA,USA,71,192,2010,2,59,20112012,N,35,12,12,24
Valentin Zykov,VGK,R,L,1995-05-15,St. Petersburg,--,RUS,RUS,72,220,2013,2,37,20162017,N,15,1,3,4
